layer_name,department,elevation_band,scale,dimensionality,scope,status
RIGGING - OVERHEAD,RIGGING,3 CATWALK,shared,2D+3D,VENUE BASE,CREATED
_HANG POSITIONS,UR,3 CATWALK,shared,2D,VENUE BASE,REVIEWING
3D 3 CATWALKS,UR,3 CATWALK,shared,3D,VENUE BASE,REVIEWING
LX - REP,HEAD ELECTRICIAN,3 CATWALK,shared,2D+3D,VENUE BASE,NEW
LX - PLOT SECTIONS,HEAD ELECTRICIAN,3 CATWALK,shared,2D,DEPARTMENT,NEW
LX - PLOT 1 CATWALKS,LX DESIGNER,3 CATWALK,shared,2D+3D,DEPARTMENT,NEW
UTL - CAMERAS,UTILITY,3 CATWALK,shared,2D+3D,DEPARTMENT,PLANNED
VID - OVERHEAD,VIDEO,3 CATWALK,shared,—,DEPARTMENT,DRAFTING
AUDIO - OVERHEAD,AUDIO,2 TOE,shared,2D+3D,DEPARTMENT,CREATED
AUDIO - REP,AUDIO,2 TOE,shared,3D,VENUE BASE,DRAFTING
LX - PLOT 2 TOE PIPES,LX DESIGNER,2 TOE,shared,2D+3D,DEPARTMENT,NEW
SCENIC - OVERHEAD,SCENIC,2 TOE,shared,—,DEPARTMENT,PLANNED
VID - TOE PIPES,VIDEO,2 TOE,shared,—,DEPARTMENT,PLANNED
3D 2 MEZZANINE,UR,1.5 MEZZ,shared,3D,VENUE BASE,REVIEWING
LX - MEZZ,LX DESIGNER,1.5 MEZZ,shared,2D+3D,DEPARTMENT,NEW
TECH SETUP,PM,1.5 MEZZ,shared,2D+3D,DEPARTMENT,PLANNED
Theatre Architecture,UR,1 DECK,shared,2D+3D,VENUE BASE,PLANNED
3D 1 GROUNDPLAN,UR,1 DECK,shared,3D,VENUE BASE,REVIEWING
LX - focus points,LX DESIGNER,1 DECK,shared,2D+3D,DEPARTMENT,CREATED
LX - PLOT 3 DECK,LX DESIGNER,1 DECK,shared,2D+3D,DEPARTMENT,NEW
SCENIC - DECK,SCENIC,1 DECK,shared,—,DEPARTMENT,DRAFTING
SCENIC - Symbols,SCENIC,1 DECK,shared,—,DEPARTMENT,PLANNED
VID - DECK,VIDEO,1 DECK,shared,—,DEPARTMENT,PLANNED
PVIZ - View CAMERAS,UTILITY,0 NOTES,shared,3D,VENUE BASE,DRAFTING
WORKING SCRATCH,UTILITY,0 NOTES,shared,2D+3D,VENUE BASE,PLANNED
VID - SYSTEM NOTES,VIDEO,0 NOTES,shared,—,DEPARTMENT,PLANNED
VID - REP,VIDEO,,shared,—,VENUE BASE,PLANNED
