id	role_id	lane	title	org	location	site	url	posted	first_seen	salary	level	status	friction	also_lanes	accessibility	requirements
JM-OSJ-gamm-ed	creative-admin	ADM	Executive Director	The Gamm Theatre	Warwick, RI	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72339	2026-07-14	2026-08-04	$125,000-140,000	senior	live	email			
JM-OSJ-orlandoshakes-sdd	creative-admin	ADM	Senior Director of Development	Orlando Shakes	Orlando, FL	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72428	2026-07-30	2026-08-04	$90,000-110,000	senior	live	email			
JM-PB-longwharf-dod	creative-admin	ADM	Director of Development	Long Wharf Theatre	New Haven, CT	PB	https://playbill.com/job/director-of-development/068a77a7-2da4-4b46-8b2a-f8ee5175f96c	2026-08-03	2026-08-04		senior	live	direct			
JM-PB-nft-gm	creative-admin	ADM	General Manager	New Federal Theatre	New York, NY	PB	https://playbill.com/job/general-manager/7ced24cc-91c7-4519-8ded-655188f5f381	2026-07-08	2026-08-04		senior	live	direct			
JM-OSJ-mep-cm	creative-admin	ADM	Company Manager - Hip Hop Nutcracker National Tour	MEP	New York, NY	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72461	2026-08-04	2026-08-04	$1,500-1,650/wk	mid	live	email			
JM-OSJ-actco-cm	creative-admin	ADM	Company Manager - 2026-27 National Tour	The Acting Company	New York, NY	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72272	2026-07-01	2026-08-04	$1,275/wk	mid	live	email			
JM-PB-bwayplus-aep	creative-admin	ADM	Assistant Event Producer	Broadway Plus	New York, NY	PB	https://playbill.com/job/assistant-event-producer/67dcaa6b-068e-4307-b9c9-4bf1e47b6b28	2026-08-03	2026-08-04		associate	live	direct			
JM-PB-stc-acm	creative-admin	ADM	Assistant Company Manager	Shakespeare Theatre Company	Washington, DC	PB	https://playbill.com/job/assistant-company-manager/b08521d0-7213-4a39-8f17-8d96a1a2bafe	2026-07-07	2026-08-04		associate	live	direct			
JM-OSJ-fbplayhouse-acm	creative-admin	ADM	Assistant Company Manager	Forestburgh Playhouse	Forestburgh, NY	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=70449	2026-07-23	2026-08-04	$475/wk	contract	live	email			
JM-OSJ-geva-pcma	creative-admin	ADM	Production + Company Management Assistant	Geva Theatre Center	Rochester, NY	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72251	2026-06-29	2026-08-06	$17.00/hr	entry	live	email	production-manager	home	
JM-PB-tpa-md	creative-admin	ADM	Managing Director - Texas Performing Arts (via TOC Arts Partners)	Texas Performing Arts	Austin, TX	PB	https://playbill.com/job/managing-director-texas-performing-arts-via-toc-arts-partners/08afafe8-db6d-4d94-afcc-a9a9cdda1bd1	2026-07-13	2026-08-06	$150,000	senior	live	direct			
JM-PB-ballethispanico-dod	creative-admin	ADM	Director of Development - Ballet Hispanico (via TOC Arts Partners)	Ballet Hispanico	New York, NY	PB	https://playbill.com/job/director-of-development-ballet-hispanico-via-toc-arts-partners/4eedcad6-ee74-407e-8f63-30280c8b8e05	2026-07-27	2026-08-06	$150,000-170,000	senior	live	direct			
JM-ID-epic-cmsm	creative-admin	ADM	Company Manager/Stage Manager	Epic Theatre Center, Inc. (Epic Theatre Ensemble)	New York, NY	ID	https://www.idealist.org/en/nonprofit-job/29ba83f755e8482da0cdfb29a2a65ec9-company-managerstage-manager-epic-theatre-center-inc-new-york	2026-08-18	2026-09-01	$47,000-62,000/yr (or $1,200/wk AEA SM with health + pension)	mid	live	direct	stage-manager		
JM-PB-mcc-agm	creative-admin	ADM	Associate General Manager	MCC Theater	New York, NY	PB	https://playbill.com/job/associate-general-manager/22f1c4ff-62fa-4efc-885c-7db07fa7e52e	2026-08-17	2026-09-01	$72,500	mid	live	email			
JM-PB-chenango-md	creative-admin	ADM	Managing Director	Chenango River Theatre	Greene, NY	PB	https://playbill.com/job/managing-director/73261ec6-42fd-473c-8d80-f32ac6b4482b	2026-08-24	2026-09-01	$40,000-50,000	mid	live	direct			
JM-JI-oaa-md	creative-admin	ADM	Managing Director	Open Arts Alliance	Greenwich, CT	JI	https://jobs-in.us/managing-director_greenwich-c426858/2026-09-cultural-alliance-of-fairfield-county_i4191094918	2026-09-02	2026-09-09		senior	live	email			
JM-NPN-oct-ed	creative-admin	ADM	Executive Director	Oregon Children's Theatre	Portland, OR	NPN	https://npjobboard.com/job-seekers/view-listing/open/4142	2026-08-31	2026-09-09	$95,000-105,000	senior	live	email			
JM-TAPA-obsidian-md	creative-admin	ADM	Managing Director	Obsidian Theatre Company	Toronto, ON	TAPA	https://tapa.ca/industry-listing/managing-director-position/	2026-09-03	2026-09-09	CAD $75,000-90,000	senior	live	email			
JM-AS-tybee-ed	creative-admin	ADM	Executive Director	Tybee Post Theater (Friends of the Tybee Theater, Inc.)	Tybee Island, GA	AS	https://artjobs.artsearch.us/job/executive-director-3/	2026-08-24	2026-09-09	$80,000-100,000	senior	live	direct			
JM-GEVA-geva-deo	creative-admin	ADM	Donor Engagement Officer	Geva Theatre	Rochester, NY	GEVA	https://gevatheatre.org/careers-casting/	2026-09-10	2026-09-10	$25-28/hr	mid	live	direct		home	
JM-LB-louisville-ed	creative-admin	ADM	Executive Director	Louisville Ballet	Louisville, KY	LB	https://louisvilleballet.org/careers/executive-director/	2026-04-30	2026-09-10	$145,000-165,000	senior	live	email			
JM-SFCV-lamc-ceo	creative-admin	ADM	President & Chief Executive Officer	Los Angeles Master Chorale	Los Angeles, CA	SFCV	https://www.sfcv.org/classifieds/jobs/president-ceo	2026-09-01	2026-09-10	$275,000-350,000	senior	live	direct			
JM-PB-ttp-audible-cm	creative-admin	ADM	Company Manager - Audible Theater at Minetta Lane	TT Partners	New York, NY	PB	https://playbill.com/job/audible-theater-company-manager/61e13332-3e73-41f6-9836-261de2f10864	2026-07-01	2026-09-10	$1,275-1,500/wk (ATPAM eligible)	mid	live	direct			
JM-DNYC-iddf-dcps	creative-admin	ADM	Director of Communications, Program Strategy (Isadora150)	Isadora Duncan Dance Foundation	New York, NY (hybrid)	DNYC	https://www.dance.nyc/for-artists/listings/2026/05/Director-of-Communications-Program-Strategy-Isadora150-Isadora-Duncan-Dance-Foundation-	2026-05-01	2026-09-10	$30-40/hr, 20-30 hrs/wk	mid	live	email		hybrid	
JM-PB-soundassoc-om	creative-admin	ADM	Operations Manager (NYC business unit)	Sound Associates Inc.	New York, NY	PB	https://playbill.com/job/operations-manager/83d94407-9b81-40e6-9901-db8c4a0f18ca	2026-04-27	2026-09-10	$75,000-80,000	mid	live	direct	operations-safety		
JM-PB-redhouse-ed	creative-admin	ADM	Executive Director	Redhouse Arts Center	Syracuse, NY	PB	https://playbill.com/job/executive-director/31c5e36b-16c4-4b00-bb10-b1fec2e922ba	2026-09-13	2026-09-18	$110,000-130,000 anticipated	senior	live	email		home	"Bachelor degree or equivalent experience"; "proven budgeting and financial management skills"; fundraising experience
JM-OSJ-bom-cm	creative-admin	ADM	Company Manager - The Book of Mormon National Tour	BOM Touring LLC	Columbia, MD	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72580	2026-08-25	2026-09-18	$1,500/week performance; $1,000/week rehearsal/prep	mid	live	direct			"3-5 years of tour company management and/or related industry experience"; "valid passport for international travel"
JM-PB-bom-cm	creative-admin	ADM	Company Manager - The Book of Mormon National Tour	BOM Touring LLC	Columbia, MD	PB	https://playbill.com/job/company-manager---the-book-of-mormon-national-tour/e1e353b3-e033-43a1-8b73-1678e1aed3ef	2026-08-25	2026-09-18	$1,500/week performance; $1,000/week rehearsal/prep	mid	live	direct			"3-5 years of tour company management and/or related industry experience"
JM-PB-jecaryous-cm	creative-admin	ADM	Tour / Company Manager - Touring Production	Je'Caryous Entertainment	Houston, TX; Atlanta, GA; or Remote (must be willing to travel extensively)	PB	https://playbill.com/job/tour-company-manager---touring-production/7e134fe7-09de-42a0-902a-770b53e0f4da	2026-08-14	2026-09-18	$1,400/wk	mid	live	email		remote	"Previous experience as a Company Manager, Tour Manager, or Production Manager"
JM-AAJ-atlas-pm	creative-admin	ADM	Program Manager	Atlas Performing Arts Center	Washington, DC	AAJ	https://artsadminjobs.com/job/atlas-performing-arts-center-washington-dc-24-program-manager/	2026-08-17	2026-09-18	$65,000-75,000	mid	live	direct			
JM-GOV-prattville-catc	creative-admin	ADM	Cultural Arts Theater Coordinator	City of Prattville	Prattville, AL	GOV	https://www.governmentjobs.com/jobs/5474256-0/2026-a-cultural-arts-theater-coordinator-9-2026	2026-09-08	2026-09-18	$53,245/yr	associate	live	direct			
JM-AAJ-encore-dev-coord	creative-admin	ADM	Development Coordinator	Encore Creativity for Older Adults	Washington, DC (remote, some local travel)	AAJ	https://artsadminjobs.com/job/encore-creativity-washington-dc-24-development-coordinator/	2026-09-20	2026-09-20	$42,500 annually	mid	live	email		remote	"Bachelor's degree or equivalent experience"; "2+ years' experience in nonprofit development"
