id	role_id	lane	title	org	location	site	url	posted	first_seen	salary	level	status	friction	also_lanes	accessibility	requirements
JM-OSJ-riverside-asc	drafting-design	DFT	Assistant Scenic Charge	Riverside Theatre	Vero Beach, FL	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72448	2026-07-31	2026-08-04	$800/wk	contract	live	email			
JM-OSJ-riverside-sa	drafting-design	DFT	Scenic Artist	Riverside Theatre	Vero Beach, FL	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=69851	2026-07-31	2026-08-04	$720/wk	contract	live	email			
JM-PB-nlbarn-sca	drafting-design	DFT	Scenic Charge Artist/Carp AND Lead Carpenter	New London Barn Playhouse	New London, NH	PB	https://playbill.com/job/scenic-charge-artist-carp-and-a-lead-carpenter/93db64ed-9dfb-40f5-b08c-b6b0ea3bbad5	2026-07-27	2026-08-04	$550/wk	contract	gone	email			
JM-PB-nlbarn-props	drafting-design	DFT	Properties Supervisor	New London Barn Playhouse	New London, NH	PB	https://playbill.com/job/properties-supervisor/e97ddd83-7512-4efa-9c41-ab4d1ef3d68d	2026-07-14	2026-08-04	$400/wk + travel, room, meals	contract	gone	email			
JM-OSJ-nlbarn-nest	drafting-design	DFT	Scenic Charge Artist/Scene Shop Carpenter (NEST)	New London Barn Playhouse	New London, NH	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72401	2026-08-04	2026-08-04	$450/wk	contract	gone	email			
JM-OSJ-desales-ps	drafting-design	DFT	Properties Supervisor	DeSales University	Center Valley, PA	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72391	2026-07-23	2026-08-06	$51,000	mid	live	email			
JM-OSJ-titusville-pmsa	drafting-design	DFT	Prop Master/Scenic Artist	Titusville Playhouse	Titusville, FL	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72382	2026-07-22	2026-08-06	$36,000-42,000	mid	live	email			
JM-PB-titusville-pmsa	drafting-design	DFT	Prop Master/Scenic Artist (PB cross-post)	Titusville Playhouse	Titusville, FL	PB	https://playbill.com/job/prop-master-scenic-artist/0c31f0c0-1290-44b7-aaec-1836459b48f4	2026-07-22	2026-08-06	$36,000-42,000	mid	live	direct		immediate	"Starting ASAP in a salaried fulltime position"; "Duties include, but not limited to, building and maintaining props for all productions"; "painting all scenic pieces"
JM-OSJ-syracuse-aps	drafting-design	DFT	Associate Prop Supervisor	Syracuse Stage	Syracuse, NY	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72279	2026-07-02	2026-08-06	$22.00/hr	associate	live	email		home	
JM-PB-syracuse-aps	drafting-design	DFT	Associate Prop Supervisor (PB cross-post)	Syracuse Stage	Syracuse, NY	PB	https://playbill.com/job/associate-prop-supervisor/5011c7d7-711f-47c5-b297-0ddc991d73a6	2026-07-02	2026-08-06	$22.00/hr	associate	live	direct		home	
