id	role_id	lane	title	org	location	site	url	posted	first_seen	salary	level	status	friction	also_lanes	accessibility	requirements
JM-MCA-fst-ad	producing-artistic	PRD	Artistic Director	Florida Studio Theatre	Sarasota, FL	MCA	https://www.mcaonline.com/searches/artistic-director-fst	2026-09-04	2026-09-09	$160,000+	senior	live	email			"Deep experience as a practitioner in the professional theatre world as a practicing artist.";"Expert level knowledge of theatrical repertoire, both historical and contemporary, always understanding the unique needs of FST’s patron community.";"Experience working with theatrical labor unions including AEA, SDC, and familiarity with the LORT contract.";"Obvious investment in arts education and personal values aligned with creating access to the arts for youth and underserved communities."
JM-CS-clearspace-ad	producing-artistic	PRD	Artistic Director	Clear Space Theatre Company	Rehoboth Beach, DE	CS	https://www.clearspacetheatre.org/artistic-director-job-posting-2026	2026-09-09	2026-09-09		senior	live	direct			
JM-TOC-confluence-president-ep	producing-artistic	PRD	President & Executive Producer	Confluence Theater of Pittsburgh	Pittsburgh, PA	TOC	https://tocartspartners.com/jobs-listing/pittsburgh-merger-president-executive-producer	2026-08-05	2026-09-18	$175,000-$200,000	senior	live	direct	creative-admin		
JM-PB-confluence-president-ep	producing-artistic	PRD	President & Executive Producer	Confluence Theater of Pittsburgh	Pittsburgh, PA	PB	https://playbill.com/job/president-executive-producer/dee79955-0db5-4c9b-9664-c3d8bdcabdc7	2026-08-13	2026-09-18	$175,000-$200,000	senior	live	direct	creative-admin		
JM-PB-fst-artistic-director	producing-artistic	PRD	Artistic Director	Florida Studio Theatre	Sarasota, FL	PB	https://playbill.com/job/artistic-director-florida-studio-theatre-working-with-management-consultants-for-the-arts/e85a0cf3-ce3a-4764-b72f-66d76c7f8f54	2026-09-09	2026-09-18	$160,000-$180,000	senior	live	direct			
JM-PB-pac-nyc-assoc-producer	producing-artistic	PRD	Associate Producer	Perelman Performing Arts Center (PAC NYC)	New York, NY	PB	https://playbill.com/job/associate-producer/979d5366-a1a2-48a5-a0d2-669dbba754e2	2026-08-14	2026-09-18	$70,000-$77,000	associate	live	direct	creative-admin		
JM-PB-lincoln-center-theater-assoc-producer	producing-artistic	PRD	Associate Producer and New Play Associate	Lincoln Center Theater	New York, NY	PB	https://playbill.com/job/associate-producer-and-new-play-associate-at-lincoln-center-theater/1d825d7d-07aa-4fce-ae95-8b59cd728591	2026-06-30	2026-09-18	$120,000-$125,000	associate	live	direct			
JM-PB-lincoln-center-assistant-line-producer	producing-artistic	PRD	Assistant Line Producer	Lincoln Center for the Performing Arts	New York, NY	PB	https://playbill.com/job/assistant-line-producer/01a00137-21cc-4d0c-8829-817e3a4122ad	2026-09-15	2026-09-18	$34-$36/hour	associate	live	direct			
JM-ACG-hanover-vp-programming	producing-artistic	PRD	Vice President, Programming & Production	Hanover Theatre & Conservatory	Worcester, MA	ACG	https://artsconsulting.com/opensearches/hanover-theatre-conservatory-seeks-vice-president-programming-production/	2026-07-07	2026-09-18		senior	live	email	production-manager		
JM-ACG-ragazzi-artistic-director	producing-artistic	PRD	Artistic Director	Ragazzi Boys Chorus	Redwood City, CA	ACG	https://artsconsulting.com/opensearches/ragazzi-boys-chorus-seeks-artistic-director/	2026-09-18	2026-09-18		senior	live	email			
JM-CS-soho-theatre-theatre-producer	producing-artistic	PRD	Theatre Producer	Soho Theatre	London, UK	CS	https://sohotheatre.com/wp-content/uploads/2026/08/Theatre-Producer-Job-Description-2026.pdf	2026-08	2026-09-24	£35,000-40,000 per annum depending on experience	mid	live	direct		hybrid	"Experience of producing new plays.";"Experience of reading and evaluating proposals, scripts and pitches.";"Experience of managing and supporting freelance creative teams, cast, stage management and production personnel.";"Excellent administration and project management skills, with strong attention to detail across producing processes including scheduling, contracting, budgeting and project delivery timelines.";"An understanding of production management and technical theatre practice."
JM-PB-mainstages-director-of-performances	producing-artistic	PRD	Director of Performances	mainstages	Astoria, NY	PB	https://playbill.com/job/director-of-performances/5c4877b9-d18d-423a-9062-ee24791a0c6a	2026-08-11	2026-09-24	$52,000-$62,000 commensurate with experience	senior	live	direct		hybrid	"5+ years of demonstrated leadership experience";"College graduation or equivalent";"Previous experience managing tour logistics including vehicle mapping and load in/out procedures.";"Demonstrated proficiency in MS Word, Excel, Google platforms, Jotform, Salesforce.";"Previous experience with Salesforce, Zoom and/or Slack."
JM-CS-elgin-community-college-senior-director-performing-arts	producing-artistic	PRD	Senior Director of Performing Arts	Elgin Community College	Elgin, IL	CS	https://elgin-community-college.career-pages.com/jobs/senior-director-of-performing-arts-elgin-il-illinois-united-states	2026-04-22	2026-09-24	$84,923 to $113,000	senior	live	direct			"Graduate degree in arts, nonprofit administration, business, or a related field; or a bachelor’s degree with substantial experience leading multi-venue performing arts operations or comparable nonprofit organizations.";"Minimum of seven (7) years of senior leadership experience in a nonprofit organization, including budget and profit/loss responsibility, contract authority, and supervision of cross-functional teams.";"Comprehensive knowledge of performing arts venue management, including marketing, box office operations, online ticket sales, CRM systems, technical production, and front-of-house management.";"Direct professional experience in performing arts (e.g., director, producer, performer)."
JM-CS-feld-entertainment-producer	producing-artistic	PRD	Producer	Feld Entertainment	Location not stated	CS	https://jobs.lever.co/feldinc/0e2dbb23-8eb1-4b22-92e4-5912760dee29		2026-09-24		mid	live	direct			
