id	role_id	lane	title	org	location	site	url	posted	first_seen	salary	level	status	friction	also_lanes	accessibility	requirements
JM-PB-tuts-pm	production-manager	PM	Production Manager	Theatre Under The Stars	Houston, TX	PB	https://playbill.com/job/production-manager/90bf5ad2-5627-4f65-9035-f4663723fc83	2026-07-28	2026-07-30	$70,000-80,000	mid	live	direct			
JM-PB-apollo-dop	production-manager	PM	Director of Production	Apollo Theater Foundation	New York, NY	PB	https://playbill.com/job/director-of-production/3d2f1abf-1803-472f-871d-0405aaf033c8	2026-07-28	2026-07-31	$150,000-170,000	senior	live	direct			
JM-ACG-hanover-vp	production-manager	PM	VP, Programming & Production	Hanover Theatre & Conservatory	Worcester, MA	ACG	https://artsconsulting.com/opensearches/hanover-theatre-conservatory-seeks-vice-president-programming-production/	2026-07-07	2026-07-30		senior	live	email			
JM-PB-est-prod-fac-mgr	production-manager	PM	Production and Facilities Manager	Ensemble Studio Theatre	New York, NY	PB	https://playbill.com/job/production-and-facilities-manager/b5c5a1fa-02b5-440a-9d18-5f202b570d19	2026-07-30	2026-07-31	$45,833/10mo	mid	gone	direct	operations-safety	hybrid	
JM-ACG-prax-dop	production-manager	PM	Director of Production and Presentation	Patricia Valian Reser Center for the Creative Arts	Corvallis, OR	ACG	https://artsconsulting.com/opensearches/patricia-valian-reser-center-for-the-creative-arts-seeks-director-of-production-and-presentation/	2026-07-21	2026-07-31	$80,000-90,000	senior	live	email			
JM-TOC-lc-sr-dop	production-manager	PM	Senior Director, Production	Lincoln Center for the Performing Arts	New York, NY	APAP	https://jobbank.apap365.org/jobs/22465766/senior-director-production	2026-07-31	2026-07-31	$215,000-250,000	senior	live	email			
JM-PB-mtc-pm	production-manager	PM	Production Manager	Manhattan Theatre Club	New York, NY	PB	https://playbill.com/job/production-manager/0dedc753-b652-4b69-8b41-35e2ef7c6e68	2026-06-16	2026-07-31	$70,000-75,000	mid	live	email			
JM-PB-actct-pm	production-manager	PM	Production Manager	A.C.T. of Connecticut	Ridgefield, CT	PB	https://playbill.com/job/production-manager/4e47283b-4d4e-4f31-b69d-c2ba3fb2e5dc	2026-07-21	2026-07-31	$62,000-68,000	mid	live	direct			
JM-PB-nycct-pm	production-manager	PM	Production Manager	New York City Children's Theater	New York, NY	PB	https://playbill.com/job/production-manager/dd2e19f6-25c6-48c5-8803-e51178144727	2026-07-17	2026-07-31		mid	live	direct			
JM-BWW-tpt-pm	production-manager	PM	Production Manager	The People's Theatre	New York, NY	BWW	https://www.broadwayworld.com/job/production-manager-10045	2026-07-20	2026-07-31		mid	live	direct			
