id	role_id	lane	title	org	location	site	url	posted	first_seen	salary	level	status	friction	also_lanes	accessibility	requirements
JM-PB-paquin-psm	stage-manager	SM	Production Stage Manager	Paquin Entertainment Group	Wilmington, DE	PB	https://playbill.com/job/production-stage-manager/e48e5e8f-49a5-400c-bbce-dfb8c53c7d09	2026-07-21	2026-07-31		mid	live	email			
JM-PB-ptdc-sm	stage-manager	SM	Stage Manager	Paul Taylor Dance Company	New York, NY	PB	https://playbill.com/job/stage-manager/6e49a20b-ef1c-4488-8244-27496fd38e46	2026-07-10	2026-07-31		mid	live	email			
JM-OSJ-hct-asm	stage-manager	SM	Assistant Stage Manager (Full Time)	Hale Centre Theatre	Sandy, UT	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72427	2026-07-29	2026-07-31	$25+/hr	associate	live	email			
JM-OSJ-actct-psm	stage-manager	SM	Production Stage Manager	A.C.T. of Connecticut	Ridgefield, CT	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72406	2026-07-25	2026-07-31	$1,200/wk	contract	live	email			
JM-LCTJ-apollo-sm	stage-manager	SM	Stage Manager	Apollo Theater Chicago	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/apollo-theater-chicago-chicago-contract-part-time-stage-manager/	2026-07-31	2026-07-31	$25/hr	contract	gone	gated			
JM-LCTJ-cot-sm	stage-manager	SM	Stage Manager (AGMA)	Chicago Opera Theatre	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/chicago-opera-theater-chicago-full-time-stage-manager-agma/	2026-07-31	2026-07-31		contract	gone	gated			
JM-SL-hair-sm	stage-manager	SM	Stage Manager - Hair The Musical	(via StageLync)	Tivoli, NY	SL	https://stagelync.com/pro/jobs-and-auditions/p-stage-manager-hair-the-musical	2026-07-16	2026-07-31		mid	live	direct			
JM-PB-interalia-sm	stage-manager	SM	Stage Manager	Inter Alia Broadway LLC	New York, NY	PB	https://playbill.com/job/inter-alia-broadway-stage-manager-submissions-deadline-wednesday-august-12-2026/2b210f12-d92b-49ee-a227-35ccb2429b84	2026-07-29	2026-07-31	$3,952/wk SM; $3,232/wk ASM	senior	gone	email			
JM-PB-suncoast-sm	stage-manager	SM	Stage Manager	Suncoast Broadway	Hudson, FL	PB	https://playbill.com/job/suncoast-seeking-a-stage-manager-for-our-2026-2027-season/186db079-78ce-4532-810c-ee747aa7a1a9	2026-06-30	2026-07-31		mid	live	email			
JM-SL-jury-sm	stage-manager	SM	Stage Manager - Immersive Theatre	The Jury Experience	Houston, TX	SL	https://stagelync.com/pro/jobs-and-auditions/p-stage-manager-immersive-theatre-production-job	2026-07-18	2026-07-31		mid	live	direct			
JM-PB-looking-sm	stage-manager	SM	SM Submissions 2026-27	Lookingglass Theatre Company	Chicago, IL	PB	https://playbill.com/job/lookingglass-theatre-company-2026-27-season-stage-manager-submissions-deadline-08-15-26/157d13ac-c811-45c5-97e6-bda7bcab5db0	2026-07-13	2026-07-31		mid	live	email			
JM-OSJ-drunkshx-sm	stage-manager	SM	Stage Manager (PT Seasonal)	Drunk Shakespeare	Phoenix, AZ	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72403	2026-07-25	2026-07-31	$18.54/hr rehearsal + $87.55/show	contract	live	direct			
JM-PB-wppac-sm	stage-manager	SM	Stage Managers (PSM + ASM)	White Plains Performing Arts Center	White Plains, NY	PB	https://playbill.com/job/stage-managers/27b7f13e-74ff-4bc7-ac73-250951a8787f	2026-08-01	2026-08-02	$720/wk PSM; $600/wk ASM	mid	live	email			
JM-PB-bucks-sm	stage-manager	SM	SM - Holiday Inn	Bucks County Playhouse	New Hope, PA	PB	https://playbill.com/job/holiday-inn-stage-manager-submissions-deadline-tuesday-august-11-2026/8386b586-0004-4866-9fc4-876d9f693efa	2026-07-23	2026-08-02	$1,283/wk SM; $1,067/wk ASM	mid	live	email			
JM-PB-arsht-sm	stage-manager	SM	SM - Busy Bees	Adrienne Arsht Center	Miami, FL	PB	https://playbill.com/job/busy-bees-stage-manager-submissions-deadline-08-14-26/b5d2c215-b426-462a-9bce-91ffd847738c	2026-07-30	2026-08-02	$1,200/wk (TYA)	mid	gone	email			
JM-PB-sig-mfm-sm	stage-manager	SM	SM - Miles for Mary	Signature Theatre Company	New York, NY	PB	https://playbill.com/job/miles-for-mary-stage-manager-submissions-deadline-08-12-26/1c585b96-ee4a-493a-9dba-9ccb8ed19789	2026-07-17	2026-08-02	$1,546/wk SM; $1,417/wk ASM	senior	live	email			
JM-PB-roundabout-ge-sm	stage-manager	SM	SM - Grief Eater	Roundabout Theatre Company	New York, NY	PB	https://playbill.com/job/grief-eater-stage-manager-submissions-deadline-08-18-26/a72a01bd-5960-45fb-97e4-f75d95cb8d88	2026-07-27	2026-08-02	$1,446/wk SM; $1,229/wk ASM	mid	live	email			
JM-OSJ-actct-asm	stage-manager	SM	Assistant Stage Manager (Unsilenced)	A.C.T. of Connecticut	Ridgefield, CT	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72444	2026-07-31	2026-08-02	$680/wk	associate	live	email			
JM-TSJ-hamilton-sm	stage-manager	SM	Stage Manager (Job Share)	Cameron Mackintosh Ltd	London, UK	TSJ	https://jobs.thestage.co.uk/career/31797/stage-manager	2026-08-01	2026-08-04	Competitive	senior	gone	direct			
JM-PB-zach-sm	stage-manager	SM	SM - And Then There Were None	Zachary Scott Theatre Center	Austin, TX	PB	https://playbill.com/job/and-then-there-were-none-stage-manager-submissions-deadline-thursday-august-13-2026/7da2ae90-1003-416f-b937-a79ad79b9f3f	2026-07-28	2026-08-04	$1,056/wk SM; $886/wk ASM	mid	live	email			
JM-PB-mtnco-sm	stage-manager	SM	Stage Manager - Showstoppers!	Mountain Theatre Company	Highlands, NC	PB	https://playbill.com/job/immediately-seeking-stage-manager-mountain-theatre-company-showstoppers-july-19th-september-1st-two-productions/bc6f7635-a82a-41a7-9f5d-63aa49c6d460	2026-07-16	2026-08-04		contract	live	email			
JM-OSJ-cedarpoint-psm	stage-manager	SM	Production Stage Manager - Conjuring Beyond Fear	Cedar Point Live Entertainment	Sandusky, OH	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=68981	2026-08-03	2026-08-04	$18.25/hr	contract	live	email			
JM-PB-ogunquit-asm	stage-manager	SM	The Producers - Assistant Stage Manager submissions	Ogunquit Playhouse	Ogunquit, ME	PB	https://playbill.com/job/the-producers-stage-manager-submissions-deadline-08-10-26/60a74ad0-6830-4550-a6ea-ca25f69b5d92	2026-08-05	2026-08-06	$1,125/wk	associate	live	email			
JM-PB-abt-sm	stage-manager	SM	Stage Manager	Arizona Broadway Theatre	Peoria, AZ	PB	https://playbill.com/job/stage-manager/ebdc70bd-c448-408d-9c56-00864808015d	2026-08-05	2026-08-07	$45,000-$50,000/yr	mid	live	direct		immediate	
JM-PB-vv-psm	stage-manager	SM	Production Stage Manager - The Red Room	Virgin Voyages	Orlando, FL	PB	https://playbill.com/job/production-stage-manager/ecf71c67-e849-4e9d-9cc4-849a914b3713	2026-08-05	2026-08-07	$5,800/mo	mid	live	email			
JM-PB-vv-aem	stage-manager	SM	Assistant Entertainment Manager	Virgin Voyages	Orlando, FL	PB	https://playbill.com/job/assistant-entertainment-manager/00abe2dc-7f29-45a5-a046-52b9cddca199	2026-08-05	2026-08-07	$4,800/mo	associate	live	email			
JM-OSJ-moraine-sm	stage-manager	SM	Stage Manager - Next to Normal	Moraine Valley Community College	Palos Hills, IL	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72413	2026-07-27	2026-08-07	$2,000/show	contract	live	email			
JM-OSJ-rimo-sm	stage-manager	SM	Stage Manager	RimoVision Group	Hermosa Beach, CA	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72433	2026-07-30	2026-08-07	$1,000 flat	contract	live	email			
JM-LCTJ-handbag-sm	stage-manager	SM	Stage Manager / Board Operator	Hell in a Handbag Productions	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/hell-in-a-handbag-productions-chicago-contract-stage-manager-6/	2026-08-07	2026-08-07	$1,400	contract	live	email			
JM-LCTJ-drunkshx-chi-sm	stage-manager	SM	Stage Manager - Chicago	Drunk Shakespeare / Brass Jar Productions	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/drunk-shakespeare-chicago-chicago-full-time-stage-manager/	2026-08-07	2026-08-07		mid	live	gated			
JM-LCTJ-strawdog-sm	stage-manager	SM	Stage Manager	Strawdog Theatre Company	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/strawdog-theatre-company-chicago-contract-stage-manager-3/	2026-08-07	2026-08-07	$800 stipend	contract	gone	gated			
JM-LCTJ-redtwist-sm	stage-manager	SM	Stage Manager	Redtwist Theatre	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/redtwist-theatre-chicago-contract-stage-manager-6/	2026-08-07	2026-08-07	$1,000	contract	live	email			
JM-LCTJ-idlemuse-sm	stage-manager	SM	Stage Manager	Idle Muse Theatre Company	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/idle-muse-theatre-company-chicago-contract-stage-manager-2/	2026-08-07	2026-08-07	$500 + profit share	contract	live	email			
JM-LCTJ-instrumental-sm	stage-manager	SM	Stage Manager	Instrumental Theatre Company	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/instrumental-theatre-company-chicago-contract-stage-manager/	2026-08-07	2026-08-07		contract	gone	gated			
JM-LCTJ-hgbic-sm	stage-manager	SM	Stage Manager	HGBIC Productions	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/hgbic-productions-chicago-contract-stage-manager-needed/	2026-08-07	2026-08-07	$600 stipend	contract	gone	email			
JM-LCTJ-livingcolor-sm	stage-manager	SM	Show Stage Manager	The Living Color Festival	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/the-living-color-festival-chicago-contract-stage-manager/	2026-07-23	2026-08-07		contract	gone	gated			
JM-PB-mtc-faydra-sm	stage-manager	SM	Faydra - Stage manager submissions	Manhattan Theatre Club	New York, NY	PB	https://playbill.com/job/faydra-stage-manager-submissions-deadline-09-01-26/46a9b864-f259-4b87-988c-f2bec7c0fac6	2026-08-13	2026-09-01	$1,446/wk SM; $1,229/wk ASM	senior	live	email			
JM-PB-mackthetour-sm	stage-manager	SM	Just in Time (Tour) - Stage manager submissions	Mack the Tour LLC	New York, NY	PB	https://playbill.com/job/just-in-time-tour-stage-manager-submissions-deadline-thursday-september-17-2026/05cdcb27-815a-44c0-98f1-abff2bc49a7a	2026-08-31	2026-09-01	$1,635/wk SM; $1,295/wk 1st ASM; $1,122/wk 2nd ASM	senior	gone	email			
JM-PB-mint-fanatics-sm	stage-manager	SM	The Fanatics - Stage manager submissions	Mint Theater Company	New York, NY	PB	https://playbill.com/job/the-fanatics-stage-manager-submissions-deadline-wednesday-september-9-2026/3c105586-5622-4a48-8929-39eedc690f26	2026-08-18	2026-09-01	$846/wk SM; $775/wk ASM	mid	live	email			
JM-PB-vital-sm	stage-manager	SM	Stage Manager (2026-27 NYC Season submissions)	Vital Theatre Company	New York, NY	PB	https://playbill.com/job/vital-theatre-company-2026-27-nyc-season-stage-manager-submissions/9c78d9ac-561b-492e-a8b0-7f5c525c6f5b	2026-08-30	2026-09-09	$20/hr rehearsal + $125/performance (tour $150)	mid	live	email			"Knowledge of QLab and a valid US Driver's License is a plus"; "A Passport is a plus for Touring"
JM-PB-wptheater-yss-sm	stage-manager	SM	You Seem Sad - Stage manager submissions	WP Theater	New York, NY	PB	https://playbill.com/job/you-seem-sad-stage-manager-submissions-deadline-09-14-26/a097fb2c-e495-4bf2-b27d-1b9c00238b67	2026-09-01	2026-09-09	$1,021/wk SM; $939/wk ASM	senior	live	email			
JM-PB-untitled-play-sm	stage-manager	SM	Untitled Play - Stage Manager submissions	Producing Org TBD	New York, NY	PB	https://playbill.com/job/untitled-play-stage-manager-submissions-deadline-09-28-26/dc44c968-db3b-4f13-8695-f6869d537a48	2026-09-17	2026-09-18	$1,796/wk SM; $1,647/wk ASM	senior	live	email			"Equity Stage Managers"
JM-PB-mockingbird-sm	stage-manager	SM	To Kill A Mockingbird - Stage Manager submissions	Bay Street Theater	Sag Harbor, NY	PB	https://playbill.com/job/to-kill-a-mockingbird-stage-manager-submissions-deadline-09-24-26/e3535276-f86c-4869-8779-5cc9c8398c38	2026-09-11	2026-09-18	$878/wk SM; $698/wk ASM	mid	live	email			"Equity Stage Managers"
JM-PB-actingco-sm	stage-manager	SM	Touring Stage Manager and Touring Assistant Stage Manager	The Acting Company	New York, NY	PB	https://playbill.com/job/touring-stage-manager-assistant-stage-manager/ca4337fe-18a1-47f8-a302-787623461c28	2026-08-20	2026-09-18	$1,011/wk SM; $925/wk ASM	senior	live	email			"At least 5 years of stage management or equivalent experience"; "Must be local to the NYC area"
