id	role_id	lane	title	org	location	site	url	posted	first_seen	salary	level	status	friction	also_lanes	accessibility	requirements
JM-PB-taspen-td	technical-director	TD	Technical Director/Production Manager	Theatre Aspen	Aspen, CO	PB	https://playbill.com/job/technical-director-production-manager/516bc71b-1426-454d-a882-10112ede9d7e	2026-07-06	2026-07-31	$105,000-115,000 (TD/PM combo config - recovered 09-09; the TD-only config is the separate row below at $71-80k+housing)	mid	live	direct	production-manager		
JM-PB-carson-td	technical-director	TD	Technical Director	The Carson Center	Paducah, KY	PB	https://playbill.com/job/technical-director/c9a1f9e8-87bc-408f-8d96-41a82ef231ba	2026-07-16	2026-07-31	$75,000-85,000	mid	live	direct			
JM-PB-lab-td	technical-director	TD	Technical Director	Los Angeles Ballet	Los Angeles, CA	PB	https://playbill.com/job/technical-director/31c19f97-10eb-4e82-b586-b4d91bc0a564	2026-07-14	2026-07-31	$50-65/hr (est. $35,000-45,000/yr, seasonal non-contiguous)	mid	live	direct			
JM-BWW-soho-td	technical-director	TD	Technical Director	SoHo Playhouse	New York, NY	BWW	https://www.broadwayworld.com/job/soho-playhouse-technical-director-10141	2026-06-19	2026-07-31	$30-35/hr	mid	live	direct			
JM-PB-tpac-letd	technical-director	TD	Lead Event Technical Director	Tennessee Performing Arts Center	Nashville, TN	PB	https://playbill.com/job/lead-event-technical-director/33f202c3-b5d3-43f5-9e4d-a717f8ba0375	2026-07-08	2026-07-31	$34-36/hr	mid	live	direct			
JM-PB-mosaic-td	technical-director	TD	Technical Director	Mosaic Theater Company of DC	Washington, DC	PB	https://playbill.com/job/technical-director/bc388c4f-9d53-4d51-bd90-d7b431710682	2026-07-06	2026-07-31	$65,000-67,000	mid	live	direct			
JM-PB-media-td	technical-director	TD	Technical Director	The Media Theatre	Media, PA	PB	https://playbill.com/job/technical-director/08dab3fe-b36b-4a18-9875-e25bd564f945	2026-07-07	2026-07-31	$55,000-60,000/yr	mid	gone	direct			
JM-PB-lamirada-td	technical-director	TD	Technical Director	La Mirada Theatre for the Performing Arts	La Mirada, CA	PB	https://playbill.com/job/technical-director-la-mirada-theatre-for-the-performing-arts/feb4a9aa-a1d0-44b8-951a-0d674932833c	2026-06-29	2026-07-31	$75,737.48-94,269.24	mid	live	direct			
JM-BWW-sunset-td	technical-director	TD	Resident Scenic Designer/Technical Director	Sunset Playhouse	Elm Grove, WI	BWW	https://www.broadwayworld.com/job/resident-scenic-designer-technical-director-10066	2026-03-26	2026-07-31	$45,000-50,000	mid	live	direct		immediate	
JM-LCTJ-cot-td	technical-director	TD	Technical Director	Chicago Opera Theatre	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/chicago-opera-theater-chicago-full-time-technical-director/	2026-07-31	2026-07-31		contract	gone	gated			
JM-LCTJ-redtwist-td	technical-director	TD	Technical Director	Redtwist Theatre	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/redtwist-theatre-chicago-contract-technical-director-3/	2026-07-07	2026-07-31		contract	gone	gated			
JM-PB-taspen-td-ft	technical-director	TD	Technical Director	Theatre Aspen	Aspen, CO	PB	https://playbill.com/job/technical-director/ad9cdc86-e656-4d34-98a5-f187dd4a376d	2026-07-23	2026-07-31	$71,000-80,000 + housing subsidy	mid	live	direct			
JM-OSJ-zach-td	technical-director	TD	Technical Director	Zachary Scott Theater Center	Austin, TX	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72407	2026-07-25	2026-08-02	$67,000-80,000	mid	live	direct			
JM-OSJ-precon-std	technical-director	TD	Scenic Technical Director	Precon Events LLC	Rockville, MD	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72368	2026-07-20	2026-08-03	$70,000-85,000	mid	live	direct			
JM-IND-woolly-atd	technical-director	TD	Assistant Technical Director	Woolly Mammoth Theatre Company	Washington, DC	IND	https://www.career.com/job/woolly-mammoth-theatre-company/assistant-technical-director/j202607081757283727437	2026-07-09	2026-08-04	$60,000	mid	live	direct			
JM-OSJ-cincyshakes-td	technical-director	TD	Technical Director	Cincinnati Shakespeare Company	Cincinnati, OH	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72193	2026-06-18	2026-08-04	$60,000	mid	live	email		immediate	
JM-OSJ-millsjames-sl	technical-director	TD	Technical Director - Scenic Lead	Mills James	Hilliard, OH	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72449	2026-08-01	2026-08-04	$70,000-80,000	mid	live	direct			
JM-OSJ-ampa-td	technical-director	TD	Technical Director, Theater Arts	Ampa Events	Henrico, VA	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=63615	2026-07-22	2026-08-04	$45,000-55,000 + benefits	mid	live	email			
JM-PB-stages-td	technical-director	TD	Technical Director	STAGES St. Louis	Chesterfield, MO	PB	https://playbill.com/job/technical-director/59741bde-c4cf-4364-b618-5612b00b36d9	2026-08-04	2026-08-06	$60,000-65,000	mid	live	direct			"Hire, retain, and supervise the Assistant Technical Director, Paint Charge, Property Supervisor, Electrics Supervisor, Audio Supervisor, and staff"; "Oversee maintenance of shop equipment and facilities"
JM-PB-ramsey-td	technical-director	TD	Technical Director, Ramsey Theatre Company and BG onStage (at the SKYPAC)	Ramsey Theatre Company (at The SKYPAC)	Bowling Green, KY	PB	https://playbill.com/job/technical-director-ramsey-theatre-company-and-bg-onstage-at-the-skypac/71bd6c5c-a01c-4a45-ac4e-223e83f42bd5	2026-08-04	2026-08-06	$49,000-59,000	mid	live	direct			
JM-PB-henegar-td	technical-director	TD	Technical Director with a lighting focus (GrandMA2 proficient)	The Henegar Center	Melbourne, FL	PB	https://playbill.com/job/tecnical-director-with-a-lighting-focusgrandma2-proficient/f2edfe5a-a371-488c-9ca6-f150cd841204	2026-08-05	2026-08-06	$45,000-65,000	mid	live	direct			
JM-PB-art-td	technical-director	TD	Technical Director	American Repertory Theater at Harvard University	Cambridge, MA	PB	https://playbill.com/job/technical-director/2a0a8803-9210-45d6-aedb-e29acddf2a97	2026-06-02	2026-08-06	$100,000-110,000	mid	live	direct			
JM-PB-hunterdon-td	technical-director	TD	Technical Director	Hunterdon Hills Playhouse	Hampton, NJ	PB	https://playbill.com/job/technical-director/44522892-7aa2-4508-bc98-f568cecf3351	2026-06-29	2026-08-06	$30-35/hr	mid	live	direct			
JM-PB-temple-td	technical-director	TD	Technical Director	Temple College	Temple, TX	PB	https://playbill.com/job/technical-director/6b9456fc-a56f-4ac3-b37c-f9485eca4cf4	2026-07-23	2026-08-06	$3,300-4,000/month	mid	live	direct			
JM-OSJ-iusb-td	technical-director	TD	Visiting Lecturer in Theatre, Technical Direction	Indiana University South Bend	South Bend, IN	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72435	2026-07-30	2026-08-06	$40,000-50,000	mid	live	direct			
JM-OSJ-cnu-shop	technical-director	TD	Scenic Shop Supervisor	Christopher Newport University	Newport News, VA	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72456	2026-08-03	2026-08-06	$45,689-57,112	mid	live	direct			
JM-SL-kpa-td	technical-director	TD	Technical Director (Theatrical/Performing Arts)	Kentucky Performing Arts	Louisville, KY	LI	https://www.linkedin.com/jobs/view/technical-director-theatrical-performing-arts-at-kentucky-performing-arts-4440841135	2026-07-22	2026-08-07	Up to $80,000	senior	live	gated	electrician		
JM-SL-wcu-td	technical-director	TD	Technical Director - #132735	Western Carolina University	Cullowhee, NC	SL	https://jobs.wcu.edu/postings/34539	2026-07-15	2026-08-07	$55,204 anticipated (band $39,000-$67,831)	mid	gone	direct			
JM-LCTJ-lyric-atd	technical-director	TD	Assistant Technical Director	Lyric Opera of Chicago	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/lyric-opera-of-chicago-chicago-full-time-assistant-technical-director/	2026-07-09	2026-08-07	$60,000-66,000	mid	gone	gated			
JM-LCTJ-writers-atd	technical-director	TD	Assistant Technical Director	Writers Theatre	Skokie / Glencoe, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/writers-theatre-chicago-full-time-assistant-technical-director/	2026-07-10	2026-08-07	$50,000	mid	live	direct			
JM-PB-hct-td	technical-director	TD	Technical Director	Hale Centre Theatre	Sandy, UT	PB	https://playbill.com/job/technical-director/33417d84-8905-4e7f-b88f-56039627825a	2025-06-10	2026-09-01	$85,000-115,000	senior	live	direct			
JM-HC-williams-ctd	technical-director	TD	CTD Technical Director/Production Manager for CenterSeries, Campus & Community Events	Williams College	Williamstown, MA	HC	https://hiringcafe.com/job/ctd-technical-director-production-manager-for-center-series-community-oq5dz73l9dhu2n01	2026-08-18	2026-09-01	$82,500-95,000	senior	live	direct	production-manager|electrician	hybrid	
JM-PB-straz-td	technical-director	TD	Technical Director - Straz Patel Conservatory	Straz Center for the Performing Arts	Tampa, FL	PB	https://playbill.com/job/technical-director-straz-patel-conservatory/70cd638b-9f6b-45bf-b9fb-d3efa0313d6b	2026-08-18	2026-09-01	$68,000-73,000	mid	live	direct			
JM-JT-clark-td	technical-director	TD	Technical Director - Visual and Performing Arts	Clark University	Worcester, MA	JT	https://www.jobtarget.com/jobs/jt-8ja14drtp7/technical-director-visual-and-performing-arts-worcester-massachusetts	2026-08-17	2026-09-01	$60,900-78,650	mid	live	direct		hybrid	
JM-CHR-mwsu-td	technical-director	TD	Technical Director: Potter Hall Theater	Missouri Western State University	St Joseph, MO	CHR	https://jobs.chronicle.com/job/38029457/technical-director-potter-hall-theater/	2026-08-18	2026-09-01		mid	live	direct		immediate	
JM-SL-bcs-td	technical-director	TD	Technical Director	Baltimore Center Stage	Baltimore, MD	SL	https://stagelync.com/pro/jobs-and-auditions/p-technical-director-wanted-for-regional-theater-in-baltimore	2026-05-05	2026-09-09	$75,000/yr + benefits	mid	live	gated			
JM-FL-networks-atd	technical-director	TD	Assistant Technical Director	NETworks Presentations	Remote / Buffalo, NY	FL	https://www.networkstours.com/job/tded/	2026-09-18	2026-09-18	$75,000 - $85,000	senior	live	direct		remote|home	
JM-OSJ-maui-atd	technical-director	TD	Assistant Technical Director	Maui Arts & Cultural Center	Kahului, HI	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72645	2026-09-05	2026-09-18	$50,000 to $65,000 bimonthly	associate	live	email			
JM-OSJ-taspen-itd	technical-director	TD	Interim Technical Director	Theatre Aspen	Aspen, CO	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72293	2026-09-18	2026-09-18	$1,200 - $1,500, plus housing per week	contract	live	email			
JM-OSJ-kahilu-td	technical-director	TD	Technical Director	Kahilu Theatre Foundation	Kamuela, HI	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72096	2026-06-02	2026-09-18	60,000 - 80,000 DOE annually	mid	live	direct			"Minimum 3–5 years of technical theatre experience"; "Valid driver’s license preferred"
JM-OSJ-pbo-tdfm	technical-director	TD	Technical Director + Facilities Manager	Palm Beach Opera	West Palm Beach, FL	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72384	2026-07-22	2026-09-18	45,000-55,000 annually	mid	live	direct	production-manager		
JM-OSJ-yale-td	technical-director	TD	Technical Director	Yale College Arts / Yale University	New Haven, CT	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=71580	2026-03-19	2026-09-18	$70,000 - $79,000 annually	mid	live	direct			
JM-SL-aspenmf-tdpm	technical-director	TD	Technical Director / Production Manager	Aspen Music Festival and School	Aspen, CO	SL	https://stagelync.com/pro/jobs-and-auditions/p-technical-director62	2026-09-02	2026-09-18	$105,000-$115,000	senior	live	gated	production-manager		
